
Log started (V12.3.0.0) Tue Nov 08 15:47:00 2022

New value for results output screen indicator and file: y 1108a.txt
Variable Name           Solution Value
Y01070102022800               3.500000
Y01070102022700               4.720000
Y01070102022600              10.850000
Y01070102022500               3.310000
Y01070102022400              43.070000
Y01070102022300              66.630000
Y01070102022201             217.800000
Y01070102022102             196.000000
Y01070102022003             326.500000
Y01070102021904              90.610000
Y01070102021805             209.800000
Y01070102021706             744.600000
Y01070102021607             276.900000
Y01070102021508             210.200000
Y01070102021409              39.380000
Y01070102021310               8.440000
Y01070102021013             740.800000
Y01070102020914             518.800000
Y01070102020815             914.400000
Y01070102020716             728.100000
Y01070102020617              80.820000
Y01070102020518             266.400000
Y01070102020419             314.300000
Y01070102020320             317.700000
Y01070102020221             168.300000
Y01070102020122             888.600000
Y01070102033000              11.880000
Y01070102032900               4.198000
Y01070102032800               1.100000
Y01070102032700               4.910000
Y01070102032600              30.450000
Y01070102032500               8.660000
Y01070102032400              17.380000
Y01070102032300               7.930000
Y01070102032201              29.420000
Y01070102032102              91.860000
Y01070102032003               9.590000
Y01070102031706               3.360000
Y01070102073000               0.932800
Y01070102071808               0.680000
Y01070102071214              48.360000
Y01070102071016               9.720000
Y01070102070917              64.020000
Y01070102083000               0.114400
Y01070102081808              96.750000
Y01070102081214               8.060000
Y01070102080323              37.760000
Y01070102092600               4.260000
Y01070102092006              44.070000
Y01070102102900               4.488000
Y01070102102204              13.230000
Y01070102102105              70.140000
Y01070102101709               0.130000
Y01070102101511              54.570000
Y01070102101412              59.410000
Y01070102101115             110.500000
Y01070102101016              51.990000
Y01070102100917              17.890000
Y01070102100719              14.990000
Y01070102100620             255.700000
Y01070102100521             318.500000
Y01070102100422             139.300000
Y01070102100224              38.280000
Y01070102100125             240.400000
Y01070102111800               1.750000
Y01070102111404               2.740000
Y01070102111305              57.580000
Y01070102111206               1.780000
Y01070103013000             133.000000
Y01070103012900              57.050000
Y01070103012800              16.650000
Y01070103012700              43.060000
Y01070103012600             116.100000
Y01070103012500              59.880000
Y01070103012400             103.600000
Y01070103012300             212.500000
Y01070103012201             185.100000
Y01070103012102             665.700000
Y01070103012003             810.200000
Y01070103011904             636.500000
Y01070103011805            1173.000000
Y01070103011706            1516.000000
Y01070103011607             854.000000
Y01070103011508             982.700000
Y01070103011409            1073.000000
Y01070103011310             583.100000
Y01070103011211            1234.000000
Y01070103011112             493.500000
Y01070103010914             233.600000
Y01070103010815             456.800000
Y01070103010716             207.700000
Y01070103010518             187.900000
Y01070103010419             239.900000
Y01070103010320             154.800000
Y01070103010221             357.100000
Y01070103010122             269.200000
Y01070103023000              27.020000
Y01070103022900               6.098000
Y01070103022800              58.400000
Y01070103022700              42.490000
Y01070103022600              36.150000
Y01070103022500              30.140000
Y01070103022400             104.600000
Y01070103022300             174.600000
Y01070103022201             421.500000
Y01070103022102             422.400000
Y01070103022003             817.900000
Y01070103021904             136.900000
Y01070103021805             927.400000
Y01070103021706             782.300000
Y01070103021607             498.100000
Y01070103021508             250.900000
Y01070103021409             169.900000
Y01070103021310             326.100000
Y01070103021211              20.840000
Y01070103021013             282.700000
Y01070103020914             381.000000
Y01070103020815             125.000000
Y01070103020716             474.300000
Y01070103020617             469.600000
Y01070103020518             222.500000
Y01070103020419             275.400000
Y01070103020320             373.800000
Y01070103020221             114.300000
Y01070103020122             733.900000
Y01070103033000               4.717000
Y01070103032900              12.060000
Y01070103032800               7.080000
Y01070103032700              49.850000
Y01070103032600              15.940000
Y01070103032500               4.990000
Y01070103032400               0.970000
Y01070103032300              38.000000
Y01070103032201              36.840000
Y01070103032102              87.550000
Y01070103032003             115.600000
Y01070103031904               6.700000
Y01070103031607               2.350000
Y01070103031310               0.210000
Y01070103073000               3.414000
Y01070103072303             374.400000
Y01070103071907             244.900000
Y01070103071808             159.600000
Y01070103071214             139.400000
Y01070103071115              74.440000
Y01070103081709               8.620000
Y01070103080422             144.400000
Y01070103080323              41.340000
Y01070103080125             502.700000
Y01070103093000              59.510000
Y01070103092600               0.130000
Y01070103092105              11.830000
Y01070103103000              15.690000
Y01070103102204              76.110000
Y01070103102105              82.300000
Y01070103102006              93.010000
Y01070103101808              20.720000
Y01070103101709             117.700000
Y01070103101016              59.210000
Y01070103100917              13.730000
Y01070103100620             228.100000
Y01070103100422              11.410000
Y01070103100224              18.340000
Y01070103100125              14.470000
Y01070103112000               7.050000
Y01070103111404               3.950000
Y01070103111305              55.930000
Y01070103111206              28.430000
Y01070103110909               3.110000
Y01070104013000             217.000000
Y01070104012900             263.900000
Y01070104012800              13.010000
Y01070104012700             196.700000
Y01070104012600              34.540000
Y01070104012500              60.460000
Y01070104012400             167.400000
Y01070104012300             334.300000
Y01070104012201             123.400000
Y01070104012102             360.500000
Y01070104012003            1242.000000
Y01070104011904             528.200000
Y01070104011805             241.400000
Y01070104011706              19.490000
Y01070104011607              93.010000
Y01070104011508             252.400000
Y01070104011409             319.600000
Y01070104011310             151.400000
Y01070104011211             307.400000
Y01070104011112             178.800000
Y01070104010815              18.220000
Y01070104010518              62.290000
Y01070104010419              21.070000
Y01070104010320              46.680000
Y01070104010221             241.400000
Y01070104010122             179.000000
Y01070104023000              55.400000
Y01070104022900               1.373000
Y01070104022800               2.950000
Y01070104022700              14.490000
Y01070104022600              68.570000
Y01070104022500              80.370000
Y01070104022400             154.600000
Y01070104022300             236.700000
Y01070104022201             255.000000
Y01070104022102             204.500000
Y01070104022003            1142.000000
Y01070104021904             360.600000
Y01070104021805             100.500000
Y01070104021607               2.000000
Y01070104021508             426.300000
Y01070104021409               1.550000
Y01070104021310             111.400000
Y01070104021211               4.840000
Y01070104021013             143.900000
Y01070104020815              28.070000
Y01070104020716             209.100000
Y01070104020617             202.600000
Y01070104020518             127.200000
Y01070104020419             577.700000
Y01070104020320              73.040000
Y01070104020221             292.400000
Y01070104020122             573.400000
Y01070104033000              10.140000
Y01070104032700               0.070000
Y01070104032600               1.000000
Y01070104032500               0.810000
Y01070104032400             109.800000
Y01070104032300              33.600000
Y01070104032201              37.110000
Y01070104032102              65.870000
Y01070104032003              96.600000
Y01070104031904              63.840000
Y01070104031805              17.020000
Y01070104031508               0.050000
Y01070104031310               0.880000
Y01070104081709              11.410000
Y01070104080818               3.050000
Y01070104080224              97.460000
Y01070104080125              27.100000
Y01070104092900               7.093000
Y01070104103000               0.369600
Y01070104102800               0.680000
Y01070104102700               1.670000
Y01070104102600               0.110000
Y01070104102402               2.690000
Y01070104102204              50.380000
Y01070104102105             114.100000
Y01070104102006               0.160000
Y01070104101511               3.680000
Y01070104112000              59.040000
Y01070104111900              30.030000
Y01070104111800               4.520000
Y01070104111602               5.950000
Y01070104111503              15.480000
Y01070104111404              79.530000
Y01070104111305              68.590000
Y01070104111206             114.200000
Y01070104111107               3.190000
Y01070104111008             208.800000
Y01070104110909              14.970000
Y01070104110810               5.170000
Y01070104110612              58.980000
Y01070104110513              25.320000
Y01070104110315             342.100000
Y01070201013000              75.090000
Y01070201012900              17.720000
Y01070201012800              69.540000
Y01070201012700               0.310000
Y01070201012600               8.570000
Y01070201012500              12.260000
Y01070201012400               7.300000
Y01070201012300              11.990000
Y01070201012201              32.010000
Y01070201012102             108.100000
Y01070201012003             104.400000
Y01070201011904             181.000000
Y01070201011805             189.300000
Y01070201011706             123.300000
Y01070201011607              55.430000
Y01070201011508             177.600000
Y01070201011409             288.000000
Y01070201011310             336.200000
Y01070201011211             510.300000
Y01070201011112             452.200000
Y01070201011013               0.840000
Y01070201010914              89.040000
Y01070201010815             149.900000
Y01070201010716             200.400000
Y01070201010617             172.900000
Y01070201010518             313.600000
Y01070201010419             263.900000
Y01070201010320               2.100000
Y01070201010221               4.090000
Y01070201010122              66.440000
Y01070201023000              32.110000
Y01070201022900              16.180000
Y01070201022800              14.840000
Y01070201022700             100.400000
Y01070201022600              52.270000
Y01070201022500              29.070000
Y01070201022400              41.290000
Y01070201022300              59.530000
Y01070201022201             161.000000
Y01070201022102             324.900000
Y01070201022003             266.400000
Y01070201021904             364.100000
Y01070201021805             103.400000
Y01070201021706              52.270000
Y01070201021607               9.240000
Y01070201021409             194.200000
Y01070201021310               9.040000
Y01070201021211               9.290000
Y01070201021112               3.490000
Y01070201021013             226.000000
Y01070201020914              76.430000
Y01070201020815             304.000000
Y01070201020716             119.400000
Y01070201020617             334.100000
Y01070201020518             225.100000
Y01070201020419             343.200000
Y01070201020320             331.300000
Y01070201020221             173.300000
Y01070201020122             245.300000
Y01070201033000              15.310000
Y01070201032900               2.473000
Y01070201032800               1.790000
Y01070201032700               9.780000
Y01070201032600               6.280000
Y01070201032500               1.050000
Y01070201032400               0.750000
Y01070201032300               4.970000
Y01070201032201               4.400000
Y01070201032102              49.920000
Y01070201032003              32.590000
Y01070201031706               0.590000
Y01070201031607               1.840000
Y01070201031409               1.070000
Y01070201031112               1.570000
Y01070201071214              21.890000
Y01070201071115              83.390000
Y01070201071016             148.100000
Y01070201070917             107.800000
Y01070201082105               2.490000
Y01070201081808             301.600000
Y01070201081709             270.900000
Y01070201081610             457.700000
Y01070201081511             362.500000
Y01070201081412             242.200000
Y01070201081313              21.570000
Y01070201081115              60.360000
Y01070201081016             139.300000
Y01070201080917             250.400000
Y01070201080818             134.900000
Y01070201080719              80.880000
Y01070201080620              79.750000
Y01070201080521             184.400000
Y01070201080224             424.500000
Y01070201080125              44.510000
Y01070201093000               6.626000
Y01070201092800               3.430000
Y01070201092700               0.750000
Y01070201092600              41.620000
Y01070201092501               2.030000
Y01070201092303              18.200000
Y01070201092105              43.640000
Y01070201092006              11.850000
Y01070201091907               0.420000
Y01070201091610              59.370000
Y01070201090917              77.990000
Y01070201090818             350.100000
Y01070201090719             364.600000
Y01070201090620             661.200000
Y01070201090521             151.400000
Y01070201090422             315.100000
Y01070201090323              47.830000
Y01070201090224              53.660000
Y01070201090125             216.700000
Y01070201103000              48.350000
Y01070201102900               4.655000
Y01070201102303              36.910000
Y01070201102204              60.520000
Y01070201101907              37.960000
Y01070201101808             327.500000
Y01070201101709             120.300000
Y01070201101610             903.100000
Y01070201101511             123.200000
Y01070201101412             111.800000
Y01070201101313             281.600000
Y01070201101214             270.800000
Y01070201101115             401.700000
Y01070201101016              84.200000
Y01070201100917             495.700000
Y01070201112000              71.150000
Y01070201111900              16.190000
Y01070201111701               5.030000
Y01070201111602               1.010000
Y01070201111503               1.680000
Y01070201111404              36.460000
Y01070201111305              10.260000
Y01070201110909              14.410000
Y01070201110612              56.650000
Y01070202013000             194.400000
Y01070202012900               4.884000
Y01070202012800              25.930000
Y01070202012700              27.080000
Y01070202012600              73.190000
Y01070202012500              19.690000
Y01070202012400              54.500000
Y01070202012300              24.590000
Y01070202012201              45.610000
Y01070202012102              64.160000
Y01070202012003              16.230000
Y01070202011904             144.300000
Y01070202011805             127.500000
Y01070202011706             265.900000
Y01070202011607             239.900000
Y01070202011508              69.800000
Y01070202011409              63.610000
Y01070202011310             229.000000
Y01070202011211             218.900000
Y01070202011112             222.000000
Y01070202011013              43.210000
Y01070202010716             103.200000
Y01070202010617             214.600000
Y01070202010518              46.970000
Y01070202010122             285.000000
Y01070202023000              38.590000
Y01070202022900               4.717000
Y01070202022800               9.000000
Y01070202022700             132.000000
Y01070202022600             147.200000
Y01070202022500              76.120000
Y01070202022400              41.960000
Y01070202022300              17.210000
Y01070202022201             124.200000
Y01070202022102             167.900000
Y01070202022003              86.820000
Y01070202021904              74.210000
Y01070202021805              63.450000
Y01070202021706               0.250000
Y01070202021607               0.690000
Y01070202021508              13.280000
Y01070202021211               0.520000
Y01070202021112               3.360000
Y01070202021013             668.900000
Y01070202020914             445.700000
Y01070202020815             699.200000
Y01070202020716             116.700000
Y01070202020617              10.480000
Y01070202020518             366.700000
Y01070202020419             321.500000
Y01070202020320              34.420000
Y01070202020221             263.900000
Y01070202020122              87.670000
Y01070202033000               3.018000
Y01070202032900               0.378400
Y01070202032800               0.560000
Y01070202032700               0.170000
Y01070202032600              10.110000
Y01070202032500              23.980000
Y01070202032400               5.720000
Y01070202032300               2.900000
Y01070202032201              18.510000
Y01070202032102              39.710000
Y01070202032003              60.730000
Y01070202031409               1.160000
Y01070202031310               3.750000
Y01070202031211              18.230000
Y01070202030914               0.300000
Y01070202072900               1.320000
Y01070202072600               0.480000
Y01070202072402               0.220000
Y01070202072303              11.560000
Y01070202071214             473.900000
Y01070202071115              95.830000
Y01070202071016             116.100000
Y01070202070917             215.000000
Y01070202070224              17.860000
Y01070202070125               2.410000
Y01070202083000               0.070400
Y01070202082402              38.210000
Y01070202082303              21.760000
Y01070202082105              13.810000
Y01070202081808              40.760000
Y01070202081709             123.500000
Y01070202081610              24.390000
Y01070202081511             154.200000
Y01070202081412              66.490000
Y01070202081313              55.990000
Y01070202081115              61.910000
Y01070202081016              96.770000
Y01070202080818              13.310000
Y01070202080620              16.350000
Y01070202080521              10.740000
Y01070202080422             255.000000
Y01070202080323             524.100000
Y01070202080224              63.150000
Y01070202080125             350.200000
Y01070202093000               1.100000
Y01070202092600              10.670000
Y01070202092303               1.640000
Y01070202092204              27.510000
Y01070202103000              10.080000
Y01070202102900               5.808000
Y01070202102700               1.490000
Y01070202102501               0.390000
Y01070202102402              14.620000
Y01070202102303              20.680000
Y01070202102204              40.070000
Y01070202102105               3.830000
Y01070202102006              50.350000
Y01070202101808               0.440000
Y01070202101709               5.910000
Y01070202101610              40.780000
Y01070202101511              16.280000
Y01070202101412             124.600000
Y01070202101313             312.600000
Y01070202101214              28.290000
Y01070202101115              10.170000
Y01070202101016             167.100000
Y01070202100917              73.420000
Y01070202100818              13.680000
Y01070202100719             196.000000
Y01070202100620              22.510000
Y01070202100521              33.220000
Y01070202100422              45.220000
Y01070202100323               9.020000
Y01070202100125             176.400000
Y01070202112000              23.070000
Y01070202111404              39.140000
Y01070202111305               0.860000
Y01070202111206               0.840000
Y01070202110909               6.700000
Y01070202110810              47.870000
Y01070203013000             395.300000
Y01070203012900              16.280000
Y01070203012800              62.200000
Y01070203012700              74.390000
Y01070203012600             188.100000
Y01070203012500              31.560000
Y01070203012400              68.280000
Y01070203012300              75.920000
Y01070203012201              44.730000
Y01070203012102              23.150000
Y01070203012003               0.150000
Y01070203011904             189.400000
Y01070203011805              34.710000
Y01070203011706              26.820000
Y01070203011607              92.670000
Y01070203011409              52.700000
Y01070203011310              96.100000
Y01070203011211              38.600000
Y01070203011112               4.850000
Y01070203010914              11.160000
Y01070203010815              34.570000
Y01070203010716              54.290000
Y01070203010617              61.910000
Y01070203010518             205.100000
Y01070203010320              27.250000
Y01070203023000              76.680000
Y01070203022900              18.300000
Y01070203022800              27.050000
Y01070203022700              19.400000
Y01070203022600              23.020000
Y01070203022500              53.990000
Y01070203022400              22.670000
Y01070203022300               9.830000
Y01070203022201              50.010000
Y01070203022102              81.990000
Y01070203022003               0.580000
Y01070203021904               6.040000
Y01070203021805              45.950000
Y01070203021607              23.130000
Y01070203021211              11.170000
Y01070203021112             284.100000
Y01070203021013              15.590000
Y01070203020815              21.660000
Y01070203020716              22.380000
Y01070203020518             114.800000
Y01070203020419              26.850000
Y01070203020320             282.200000
Y01070203020221              97.650000
Y01070203020122             220.500000
Y01070203033000               0.325600
Y01070203032900               4.400000
Y01070203032800               0.190000
Y01070203032700              41.750000
Y01070203032600              15.540000
Y01070203032500              19.150000
Y01070203032400              41.930000
Y01070203032300               2.290000
Y01070203032201              11.620000
Y01070203032102               6.270000
Y01070203032003               0.210000
Y01070203031607               3.060000
Y01070203031409               0.900000
Y01070203031211               4.720000
Y01070203073000              17.870000
Y01070203072600               1.880000
Y01070203072006               4.370000
Y01070203071907               3.040000
Y01070203071214             159.600000
Y01070203071115             138.800000
Y01070203071016             167.200000
Y01070203070917              34.790000
Y01070203081709             166.900000
Y01070203081412              27.600000
Y01070203081313             254.400000
Y01070203081016              68.640000
Y01070203080620              21.210000
Y01070203080323             238.600000
Y01070203080224              15.560000
Y01070203093000              23.760000
Y01070203092800               4.630000
Y01070203103000               9.838000
Y01070203102900               0.440000
Y01070203102303               1.020000
Y01070203102204               5.880000
Y01070203101610              13.100000
Y01070203101412              45.070000
Y01070203101313              34.370000
Y01070203101016               1.950000
Y01070203100917              22.620000
Y01070203100818              28.030000
Y01070203100521             116.500000
Y01070203100422             110.300000
Y01070203100323              33.520000
Y01070203100224              12.630000
Y01070203100125              10.740000
Y01070203112000              12.350000
Y01070203111602              21.100000
Y01070203111404              20.060000
Y01070203111305               5.030000
Y01070203111206               1.130000
Y01070203111107               0.120000
Y01070203110315              32.870000
Y01070204013000             308.600000
Y01070204012900               0.660000
Y01070204012800              63.730000
Y01070204012700             107.700000
Y01070204012600              63.450000
Y01070204012500              99.210000
Y01070204012400              88.480000
Y01070204012300              13.010000
Y01070204012201               6.930000
Y01070204012102              16.020000
Y01070204012003               1.320000
Y01070204011904               2.190000
Y01070204011805               1.510000
Y01070204011706              36.880000
Y01070204011607               0.220000
Y01070204011409              41.720000
Y01070204011310              17.640000
Y01070204011112              11.060000
Y01070204010419               9.830000
Y01070204023000              38.340000
Y01070204022900               0.325600
Y01070204022800              27.590000
Y01070204022700              16.620000
Y01070204022600              27.690000
Y01070204022500              39.540000
Y01070204022400               8.790000
Y01070204022300              38.370000
Y01070204022201              14.700000
Y01070204022102               0.850000
Y01070204022003               2.050000
Y01070204021805               1.850000
Y01070204021706              67.330000
Y01070204021607              29.730000
Y01070204021508               2.400000
Y01070204021211              65.320000
Y01070204021013               5.580000
Y01070204020815               0.640000
Y01070204020617               5.410000
Y01070204020518             109.600000
Y01070204020419              20.310000
Y01070204020320             448.000000
Y01070204020221               3.700000
Y01070204020122             150.800000
Y01070204033000               2.622000
Y01070204032900               0.484000
Y01070204032600              12.090000
Y01070204032500               2.120000
Y01070204032400               0.330000
Y01070204032201               0.530000
Y01070204032102               3.580000
Y01070204031508               0.970000
Y01070204093000               1.012000
Y01070204103000              36.560000
Y01070204102800               1.950000
Y01070204102700               1.070000
Y01070204102600               0.920000
Y01070204102303               0.840000
Y01070204101313               2.890000
Y01070204112000             112.000000
Y01070204111900               3.520000
Y01070204111800               9.510000
Y01070204111701               2.160000
Y01070204111602              16.280000
Y01070204111503             109.600000
Y01070204111404             168.300000
Y01070204111305             221.100000
Y01070204111206             641.000000
Y01070204111107             101.900000
Y01070204111008             447.200000
Y01070204110909             146.100000
Y01070204110810             155.200000
Y01070204110612             252.100000
Y01070204110513             888.300000
Y01070204110414             262.200000
Y01070204110315             694.200000
Y01070204110216             167.800000
Y01070204121206               1.140000
Y01070401013000               0.985600
Y01070401012800               5.460000
Y01070401012700              12.980000
Y01070401012500               0.850000
Y01070401012400              22.500000
Y01070401012201              17.450000
Y01070401012102              59.660000
Y01070401012003              18.070000
Y01070401011904              82.620000
Y01070401011805             596.500000
Y01070401011706             507.000000
Y01070401011607              90.120000
Y01070401011508              23.250000
Y01070401011409              25.270000
Y01070401011211             428.500000
Y01070401010914               6.120000
Y01070401010716              53.750000
Y01070401010617             465.200000
Y01070401010518             124.800000
Y01070401010419             252.700000
Y01070401010320             320.100000
Y01070401010221               9.060000
Y01070401010122              67.050000
Y01070401022900               6.116000
Y01070401022800              19.870000
Y01070401022700              11.550000
Y01070401022600              75.450000
Y01070401022500             216.700000
Y01070401022400             357.000000
Y01070401022300             161.800000
Y01070401022201             856.400000
Y01070401022102             315.700000
Y01070401022003             156.600000
Y01070401021904             165.200000
Y01070401021805             232.200000
Y01070401021706             582.700000
Y01070401021607               4.110000
Y01070401021508              37.870000
Y01070401021409              26.200000
Y01070401021211              81.130000
Y01070401021112              35.220000
Y01070401021013             123.700000
Y01070401020815              51.090000
Y01070401020716              38.500000
Y01070401020617               1.940000
Y01070401020320             180.600000
Y01070401020221             244.600000
Y01070401020122             193.100000
Y01070401033000               3.212000
Y01070401032500               4.350000
Y01070401032400               3.890000
Y01070401032300               7.870000
Y01070401032201              74.130000
Y01070401032102              21.120000
Y01070401032003             181.900000
Y01070401031904               5.930000
Y01070401031805               3.010000
Y01070401031706               4.910000
Y01070401031607               7.710000
Y01070401071214              10.470000
Y01070401070917              42.400000
Y01070401082204              32.520000
Y01070401082006              74.110000
Y01070401081907               7.300000
Y01070401081610              11.250000
Y01070401081313               9.100000
Y01070401081214             125.700000
Y01070401081016              93.490000
Y01070401080917              27.010000
Y01070401080818             105.200000
Y01070401080719              36.680000
Y01070401080620             152.500000
Y01070401080323             256.600000
Y01070401080125              23.120000
Y01070401093000               1.276000
Y01070401092700               8.150000
Y01070401092600             119.000000
Y01070401092303              72.280000
Y01070401092105             142.900000
Y01070401091907              49.490000
Y01070401091808               0.180000
Y01070401091709              16.820000
Y01070401090818             311.400000
Y01070401090719             258.400000
Y01070401090620              97.490000
Y01070401102700              11.200000
Y01070401102600              17.300000
Y01070401102501              13.760000
Y01070401102402               4.810000
Y01070401102303              29.500000
Y01070401102204              35.570000
Y01070401102105             180.800000
Y01070401102006              14.030000
Y01070401101907              36.280000
Y01070401101808              20.380000
Y01070401101709             130.800000
Y01070401101511              45.620000
Y01070401101412              10.600000
Y01070401101016              85.790000
Y01070401100917             408.700000
Y01070401112000              16.020000
Y01070401111701              15.080000
Y01070401111602               6.240000
Y01070401111404             191.800000
Y01070401111305             107.200000
Y01070401111206              31.690000
Y01070401111107              28.760000
Y01070401111008              21.680000
Y01070401110909             167.100000
Y01070401110810              60.360000
Y01070401110711             155.800000
Y01070401110612             145.300000
Y01070401110513              21.000000
Y01070401110414             131.800000
Y01070401110315              12.720000
Y01070401110117             119.300000
Y01070401122000              36.200000
Y01070401121503              21.940000
Y01070401121008             136.500000
Y01070401120909              12.580000
Y01070401120810              36.540000
Y01070401120711             238.400000
Y01070401120612             144.100000
Y01070401120315              82.050000
Y01070402013000              37.580000
Y01070402012900              25.260000
Y01070402012800               0.070000
Y01070402012500              34.450000
Y01070402012400              13.630000
Y01070402012300              23.770000
Y01070402012201              63.510000
Y01070402012102              85.190000
Y01070402012003             453.900000
Y01070402011904             293.800000
Y01070402011805             727.200000
Y01070402011706             387.200000
Y01070402011508              62.920000
Y01070402011409              36.320000
Y01070402011310              95.520000
Y01070402011211              27.830000
Y01070402011112             346.900000
Y01070402011013             546.800000
Y01070402010914             690.400000
Y01070402010815             102.500000
Y01070402010716              86.540000
Y01070402010518             715.900000
Y01070402010419             778.700000
Y01070402010320             239.700000
Y01070402010221              60.990000
Y01070402010122             126.700000
Y01070402023000               7.709000
Y01070402022900               1.549000
Y01070402022800              41.270000
Y01070402022700              20.210000
Y01070402022600             359.100000
Y01070402022400              92.450000
Y01070402022300              63.040000
Y01070402022201             811.800000
Y01070402022102             473.100000
Y01070402022003             333.500000
Y01070402021904             232.400000
Y01070402021805             147.000000
Y01070402021706             170.900000
Y01070402021607              95.830000
Y01070402021508              40.210000
Y01070402021211             179.100000
Y01070402021112              47.920000
Y01070402021013              29.840000
Y01070402020914             111.100000
Y01070402020815               0.180000
Y01070402020716              62.260000
Y01070402020617             150.700000
Y01070402020518              16.270000
Y01070402020320             162.700000
Y01070402020221            1064.000000
Y01070402020122             713.200000
Y01070402033000               1.487000
Y01070402032900               0.123200
Y01070402032800               1.800000
Y01070402032300             534.700000
Y01070402032201              92.150000
Y01070402032102             108.600000
Y01070402032003              68.730000
Y01070402031904              38.870000
Y01070402031805               3.120000
Y01070402031706               0.580000
Y01070402072006              21.920000
Y01070402071214              50.490000
Y01070402071115             555.000000
Y01070402071016              65.970000
Y01070402070917             393.600000
Y01070402070224              11.240000
Y01070402070125              93.260000
Y01070402082105              16.200000
Y01070402082006              24.480000
Y01070402081610             216.200000
Y01070402081412               1.480000
Y01070402081313             191.900000
Y01070402081115             134.500000
Y01070402081016             107.900000
Y01070402080917              53.020000
Y01070402080620              41.030000
Y01070402080323             643.200000
Y01070402080224             528.100000
Y01070402080125             133.500000
Y01070402092700             107.700000
Y01070402092402              61.830000
Y01070402092303              58.190000
Y01070402092105              33.250000
Y01070402091907              31.600000
