PROPIETARIO,REGION,ZONA,SITIO,MANEJO,PERIODOPLANTACION,SUPERFICIE
1,7,1,1,6,-12,29.65
1,7,1,1,6,-10,38.93
1,7,1,1,6,-8,125.11
1,7,1,1,6,-6,80.65
1,7,1,1,6,-5,194.84
1,7,1,1,6,-4,517.27
1,7,1,1,6,-3,383.77
1,7,1,1,9,-20,13.84
1,7,1,1,9,-18,13.83
1,7,1,1,9,-17,22.31
1,7,1,1,9,-16,4.64
1,7,1,1,9,-15,8.61
1,7,1,1,9,-12,60.42
1,7,1,1,9,-11,29.91
1,7,1,1,9,-10,99.98
1,7,1,1,9,-9,19.81
1,7,1,1,9,-7,3.38
1,7,1,1,9,-5,33.49
1,7,1,1,9,-4,5.68
1,7,1,1,10,-14,136.69
1,7,1,1,10,-11,156.65
1,7,1,1,10,-2,217.54
1,7,1,1,10,-1,0.44
1,7,1,1,11,-11,15.98
1,7,1,1,11,-10,28.79
1,7,1,1,11,-9,2.52
1,7,1,2,1,-30,56.85
1,7,1,2,1,-29,2.28
1,7,1,2,1,-28,75.63
1,7,1,2,1,-27,20.33
1,7,1,2,1,-26,36.83
1,7,1,2,1,-25,92.9
1,7,1,2,1,-24,92.9
1,7,1,2,1,-23,36.12
1,7,1,2,1,-22,294.33
1,7,1,2,1,-21,71.95
1,7,1,2,1,-20,176.4
1,7,1,2,1,-19,226.09
1,7,1,2,1,-18,470.26
1,7,1,2,1,-17,249.33
1,7,1,2,1,-16,254.96
1,7,1,2,1,-15,153.16
1,7,1,2,1,-14,290.92
1,7,1,2,1,-13,42.47
1,7,1,2,1,-12,398.47
1,7,1,2,1,-11,224.35
1,7,1,2,1,-10,523.11
1,7,1,2,1,-9,267.43
1,7,1,2,1,-8,800.03
1,7,1,2,1,-7,389.7
1,7,1,2,1,-6,677.69
1,7,1,2,1,-5,737.55
1,7,1,2,1,-4,1951.36
1,7,1,2,1,-3,2793.91
1,7,1,2,1,-2,3534.6
1,7,1,2,1,-1,1406.41
1,7,1,2,2,-30,29.39
1,7,1,2,2,-28,3.89
1,7,1,2,2,-27,0.03
1,7,1,2,2,-26,8.17
1,7,1,2,2,-25,8.65
1,7,1,2,2,-24,40.16
1,7,1,2,2,-23,17.35
1,7,1,2,2,-22,20.37
1,7,1,2,2,-21,76.52
1,7,1,2,2,-20,3.61
1,7,1,2,2,-18,33.68
1,7,1,2,2,-17,228.3
1,7,1,2,2,-16,171.29
1,7,1,2,2,-15,7.69
1,7,1,2,2,-14,97.53
1,7,1,2,2,-13,2.24
1,7,1,2,2,-12,373.41
1,7,1,2,2,-11,31.16
1,7,1,2,2,-10,23.61
1,7,1,2,2,-9,114.67
1,7,1,2,2,-6,61
1,7,1,2,2,-5,182.14
1,7,1,2,2,-4,139.98
1,7,1,2,2,-3,774.34
1,7,1,2,2,-2,52.44
1,7,1,2,2,-1,1606.13
1,7,1,2,3,-30,21.1
1,7,1,2,3,-29,8.25
1,7,1,2,3,-28,2.35
1,7,1,2,3,-27,15.56
1,7,1,2,3,-26,3.22
1,7,1,2,3,-25,4.81
1,7,1,2,3,-24,23.07
1,7,1,2,3,-23,2.82
1,7,1,2,3,-22,35.83
1,7,1,2,3,-21,24.75
1,7,1,2,3,-19,0.19
1,7,1,2,3,-18,43.39
1,7,1,2,3,-17,8.78
1,7,1,2,3,-16,2.87
1,7,1,2,3,-12,0.58
1,7,1,2,4,-30,14.07
1,7,1,2,4,-29,3.78
1,7,1,2,4,-28,5.75
1,7,1,2,4,-27,0.1
1,7,1,2,4,-26,7.35
1,7,1,2,4,-25,7.58
1,7,1,2,4,-24,5.51
1,7,1,2,4,-21,0.43
1,7,1,2,4,-18,0.12
1,7,1,2,4,-16,121.96
1,7,1,2,4,-15,14.74
1,7,1,2,5,-30,43.67
1,7,1,2,5,-29,2.31
1,7,1,2,5,-28,1.01
1,7,1,2,5,-27,37.24
1,7,1,2,5,-26,49.1
1,7,1,2,5,-25,11.66
1,7,1,2,5,-24,43.68
1,7,1,2,5,-23,2.02
1,7,1,2,5,-22,140.94
1,7,1,2,5,-21,442.25
1,7,1,2,5,-20,629.17
1,7,1,2,5,-19,154.3
1,7,1,2,5,-18,187.8
1,7,1,2,5,-17,122.81
1,7,1,2,5,-14,0.6
1,7,1,2,5,-12,37.4
1,7,1,2,5,-11,522.86
1,7,1,2,5,-10,50.76
1,7,1,2,6,-30,15.96
1,7,1,2,6,-29,0.82
1,7,1,2,6,-28,0.06
1,7,1,2,6,-27,5.49
1,7,1,2,6,-26,7.41
1,7,1,2,6,-25,33.27
1,7,1,2,6,-23,10.6
1,7,1,2,6,-22,112.52
1,7,1,2,6,-21,0.16
1,7,1,2,6,-19,0.21
1,7,1,2,6,-17,122.34
1,7,1,2,6,-13,11.43
1,7,1,2,6,-12,0.98
1,7,1,2,6,-10,4.62
1,7,1,2,6,-6,87.89
1,7,1,2,6,-4,333.95
1,7,1,2,6,-3,0.76
1,7,1,2,6,-2,734.23
1,7,1,2,6,-1,104
1,7,1,2,9,-20,5.39
1,7,1,2,9,-19,1.1
1,7,1,2,9,-18,3.62
1,7,1,3,1,-30,138.68
1,7,1,3,1,-29,25.65
1,7,1,3,1,-28,61.41
1,7,1,3,1,-27,83.55
1,7,1,3,1,-26,160.81
1,7,1,3,1,-25,245.02
1,7,1,3,1,-24,778.5
1,7,1,3,1,-23,158.46
1,7,1,3,1,-22,583.53
1,7,1,3,1,-21,554.42
1,7,1,3,1,-20,583.66
1,7,1,3,1,-19,539.9
1,7,1,3,1,-18,560.78
1,7,1,3,1,-17,580.41
1,7,1,3,1,-16,183.89
1,7,1,3,1,-15,66.8
1,7,1,3,1,-14,142.12
1,7,1,3,1,-13,16.07
1,7,1,3,1,-12,297.67
1,7,1,3,1,-11,193.61
1,7,1,3,1,-10,565.39
1,7,1,3,1,-9,321.46
1,7,1,3,1,-8,556.89
1,7,1,3,1,-7,543.25
1,7,1,3,1,-6,449.68
1,7,1,3,1,-5,1534.73
1,7,1,3,1,-4,3707.46
1,7,1,3,1,-3,3123.12
1,7,1,3,1,-2,2730.76
1,7,1,3,1,-1,1858.58
1,7,1,3,2,-30,15.38
1,7,1,3,2,-28,24.41
1,7,1,3,2,-26,0.46
1,7,1,3,2,-25,21.43
1,7,1,3,2,-24,45.12
1,7,1,3,2,-23,191.92
1,7,1,3,2,-22,66.36
1,7,1,3,2,-21,4.51
1,7,1,3,2,-19,25.25
1,7,1,3,2,-18,335.59
1,7,1,3,2,-17,5.02
1,7,1,3,2,-16,857.95
1,7,1,3,2,-15,7.39
1,7,1,3,2,-14,198.94
1,7,1,3,2,-13,221.25
1,7,1,3,2,-12,147.24
1,7,1,3,2,-11,252.59
1,7,1,3,2,-10,22.15
1,7,1,3,2,-9,0.08
1,7,1,3,2,-8,36.69
1,7,1,3,2,-7,98.96
1,7,1,3,2,-6,140.78
1,7,1,3,2,-5,129.66
1,7,1,3,2,-4,513.28
1,7,1,3,2,-3,128.2
1,7,1,3,2,-2,2881.09
1,7,1,3,2,-1,469.97
1,7,1,3,3,-30,23.15
1,7,1,3,3,-29,4.95
1,7,1,3,3,-28,13.43
1,7,1,3,3,-27,4.74
1,7,1,3,3,-26,23.85
1,7,1,3,3,-25,70.67
1,7,1,3,3,-24,143.77
1,7,1,3,3,-23,20.25
1,7,1,3,3,-22,54.79
1,7,1,3,3,-21,2.27
1,7,1,3,3,-20,15.58
1,7,1,3,3,-19,0.66
1,7,1,3,3,-16,18.98
1,7,1,3,3,-15,0.46
1,7,1,3,3,-14,11.59
1,7,1,3,3,-12,89.41
1,7,1,3,3,-7,7.19
1,7,1,3,4,-30,38.01
1,7,1,3,4,-29,2.42
1,7,1,3,4,-28,1.99
1,7,1,3,4,-27,12.72
1,7,1,3,4,-26,4.77
1,7,1,3,4,-25,23.1
1,7,1,3,4,-24,32.02
1,7,1,3,4,-23,60.22
1,7,1,3,4,-16,9.92
1,7,1,3,4,-15,59.7
1,7,1,3,4,-13,4.44
1,7,1,3,4,-11,9.61
1,7,1,3,5,-30,101.67
1,7,1,3,5,-29,9.68
1,7,1,3,5,-28,0.46
1,7,1,3,5,-27,33.89
1,7,1,3,5,-26,27.3
1,7,1,3,5,-25,62.51
1,7,1,3,5,-24,34.07
1,7,1,3,5,-23,39.35
1,7,1,3,5,-22,738.15
1,7,1,3,5,-21,525.39
1,7,1,3,5,-20,822.71
1,7,1,3,5,-19,237.03
1,7,1,3,5,-18,391.49
1,7,1,3,5,-17,84.67
1,7,1,3,5,-16,4.68
1,7,1,3,5,-15,8
1,7,1,3,5,-14,5.54
1,7,1,3,5,-13,7.95
1,7,1,3,5,-12,5.04
1,7,1,3,5,-11,58.49
1,7,1,3,5,-10,86.28
1,7,1,3,5,-2,35.38
1,7,1,3,6,-30,14.48
1,7,1,3,6,-28,0.18
1,7,1,3,6,-27,63.17
1,7,1,3,6,-26,37.3
1,7,1,3,6,-25,35.57
1,7,1,3,6,-24,14.65
1,7,1,3,6,-22,162.39
1,7,1,3,6,-21,8.35
1,7,1,3,6,-4,91.45
1,7,1,3,9,-20,0.34
1,7,1,3,9,-19,31.86
1,7,1,3,9,-18,0.67
1,7,1,3,9,-17,8.66
1,7,1,3,9,-16,0.71
1,7,1,4,1,-30,256.32
1,7,1,4,1,-29,122.55
1,7,1,4,1,-28,125.84
1,7,1,4,1,-27,239.35
1,7,1,4,1,-26,54.15
1,7,1,4,1,-25,453.79
1,7,1,4,1,-24,475.36
1,7,1,4,1,-23,261.3
1,7,1,4,1,-22,249.22
1,7,1,4,1,-21,267.46
1,7,1,4,1,-20,97.09
1,7,1,4,1,-19,337.08
1,7,1,4,1,-18,19.96
1,7,1,4,1,-17,143.68
1,7,1,4,1,-16,151.22
1,7,1,4,1,-15,617.63
1,7,1,4,1,-14,13.84
1,7,1,4,1,-13,60.46
1,7,1,4,1,-12,166.82
1,7,1,4,1,-11,284.29
1,7,1,4,1,-10,137.95
1,7,1,4,1,-9,308.01
1,7,1,4,1,-8,701.52
1,7,1,4,1,-7,183.32
1,7,1,4,1,-6,344.45
1,7,1,4,1,-5,932.32
1,7,1,4,1,-4,3963.77
1,7,1,4,1,-3,1825.59
1,7,1,4,1,-2,3463.39
1,7,1,4,1,-1,2350.13
1,7,1,4,2,-30,48.69
1,7,1,4,2,-28,16.2
1,7,1,4,2,-26,41.24
1,7,1,4,2,-24,443.08
1,7,1,4,2,-23,755.64
1,7,1,4,2,-22,532.02
1,7,1,4,2,-21,241.16
1,7,1,4,2,-19,7.15
1,7,1,4,2,-18,249.21
1,7,1,4,2,-17,112.48
1,7,1,4,2,-16,256.1
1,7,1,4,2,-15,237.07
1,7,1,4,2,-14,62.41
1,7,1,4,2,-12,313.53
1,7,1,4,2,-10,64.66
1,7,1,4,2,-9,3.82
1,7,1,4,2,-4,10.18
1,7,1,4,2,-3,84.35
1,7,1,4,3,-30,80.97
1,7,1,4,3,-29,21.35
1,7,1,4,3,-28,126.59
1,7,1,4,3,-27,74.42
1,7,1,4,3,-26,71.04
1,7,1,4,3,-25,86.53
1,7,1,4,3,-24,119.88
1,7,1,4,3,-23,47.35
1,7,1,4,3,-22,27.09
1,7,1,4,3,-21,24.14
1,7,1,4,3,-19,21.93
1,7,1,4,3,-16,4.9
1,7,1,4,3,-14,0.17
1,7,1,4,3,-8,10.73
1,7,1,4,4,-30,36.23
1,7,1,4,4,-29,4.8
1,7,1,4,4,-28,17.29
1,7,1,4,4,-27,0.05
1,7,1,4,4,-26,5.76
1,7,1,4,4,-25,12.9
1,7,1,4,4,-24,5.16
1,7,1,4,4,-23,45.51
1,7,1,4,4,-22,1.39
1,7,1,4,4,-19,2.18
1,7,1,4,4,-17,2.1
1,7,1,4,4,-7,7.48
1,7,1,4,5,-30,338.58
1,7,1,4,5,-29,83.53
1,7,1,4,5,-28,92.82
1,7,1,4,5,-27,232.7
1,7,1,4,5,-26,42.45
1,7,1,4,5,-25,161.64
1,7,1,4,5,-24,319.33
1,7,1,4,5,-23,77.62
1,7,1,4,5,-22,383.29
1,7,1,4,5,-21,82.9
1,7,1,4,5,-20,312.29
1,7,1,4,5,-19,465.87
1,7,1,4,5,-17,5.25
1,7,1,4,5,-15,39.69
1,7,1,4,5,-14,5.9
1,7,1,4,5,-3,78.75
1,7,1,4,6,-30,46.9
1,7,1,4,6,-29,2.9
1,7,1,4,6,-28,14.04
1,7,1,4,6,-27,21.75
1,7,1,4,6,-26,45.15
1,7,1,4,6,-25,33.31
1,7,1,4,6,-24,0.18
1,7,1,4,6,-23,0.14
1,7,1,4,6,-21,0.54
1,7,1,4,6,-17,3.73
1,7,1,4,6,-12,2.07
1,7,1,4,9,-20,11.88
1,7,1,4,9,-19,20.4
1,7,1,4,9,-18,109.35
1,7,1,4,9,-17,41.37
1,7,1,4,9,-16,125.79
1,7,1,4,9,-14,449.55
1,7,1,4,9,-13,18.98
1,7,1,4,9,-12,5.37
1,7,1,4,9,-10,59.46
1,7,1,4,9,-8,2.19
1,7,1,4,9,-7,587.74
1,7,1,4,9,-4,62.33
1,7,1,4,9,-2,0.89
1,7,1,4,11,-6,1.7
1,7,1,4,11,-3,3.78
1,7,1,4,11,-2,2.21
1,7,2,1,1,-30,23.03
1,7,2,1,1,-29,3.26
1,7,2,1,1,-28,2.38
1,7,2,1,1,-27,0.14
1,7,2,1,1,-26,5.94
1,7,2,1,1,-25,61.84
1,7,2,1,1,-24,52.88
1,7,2,1,1,-23,28.63
1,7,2,1,1,-22,74.89
1,7,2,1,1,-21,23.77
1,7,2,1,1,-20,192.26
1,7,2,1,1,-19,13.44
1,7,2,1,1,-18,79.25
1,7,2,1,1,-17,341.09
1,7,2,1,1,-16,553.6
1,7,2,1,1,-15,439.45
1,7,2,1,1,-14,775.01
1,7,2,1,1,-13,723.89
1,7,2,1,1,-12,988.73
1,7,2,1,1,-11,566.49
1,7,2,1,1,-10,466.83
1,7,2,1,1,-9,412.23
1,7,2,1,1,-8,790.87
1,7,2,1,1,-7,169.24
1,7,2,1,1,-6,275.73
1,7,2,1,1,-5,280.65
1,7,2,1,1,-4,369.34
1,7,2,1,1,-3,2009.61
1,7,2,1,1,-2,817.47
1,7,2,1,1,-1,411.29
1,7,2,1,2,-30,3.03
1,7,2,1,2,-29,7.29
1,7,2,1,2,-28,6.09
1,7,2,1,2,-27,13.28
1,7,2,1,2,-26,16.06
1,7,2,1,2,-25,11.49
1,7,2,1,2,-24,92
1,7,2,1,2,-23,42.24
1,7,2,1,2,-22,76.48
1,7,2,1,2,-21,141.99
1,7,2,1,2,-20,13.94
1,7,2,1,2,-19,5.27
1,7,2,1,2,-18,3.6
1,7,2,1,2,-16,9.1
1,7,2,1,2,-15,9.77
1,7,2,1,2,-13,25.21
1,7,2,1,2,-12,0.62
1,7,2,1,2,-9,1.83
1,7,2,1,2,-7,2.09
1,7,2,1,2,-5,106.88
1,7,2,1,2,-4,82.46
1,7,2,1,2,-2,20.33
1,7,2,1,3,-30,9.46
1,7,2,1,3,-29,2.96
1,7,2,1,3,-28,6.02
1,7,2,1,3,-27,5.7
1,7,2,1,3,-26,0.22
1,7,2,1,3,-25,2.09
1,7,2,1,3,-24,6.79
1,7,2,1,3,-23,1.91
1,7,2,1,3,-22,1.97
1,7,2,1,3,-21,3.55
1,7,2,1,3,-20,0.48
1,7,2,1,3,-18,42.42
1,7,2,1,3,-17,60.01
1,7,2,1,3,-16,27.31
1,7,2,1,3,-15,437.23
1,7,2,1,3,-14,47.65
1,7,2,1,3,-13,292.32
1,7,2,1,3,-12,159.3
1,7,2,1,3,-11,6.85
1,7,2,1,3,-10,91.04
1,7,2,1,4,-30,14.13
1,7,2,1,4,-29,2.33
1,7,2,1,4,-28,3.57
1,7,2,1,4,-27,2.87
1,7,2,1,4,-26,1.03
1,7,2,1,4,-25,3.32
1,7,2,1,4,-24,70.89
1,7,2,1,4,-23,0.02
1,7,2,1,4,-22,2.61
1,7,2,1,4,-19,2.39
1,7,2,1,4,-18,0.36
1,7,2,1,4,-16,54.2
1,7,2,1,4,-15,18.8
1,7,2,1,4,-13,10.9
1,7,2,1,4,-12,24.54
1,7,2,1,4,-10,3.81
1,7,2,1,4,-8,53.42
1,7,2,1,4,-7,7.32
1,7,2,1,5,-30,45.06
1,7,2,1,5,-29,3.83
1,7,2,1,5,-28,6.76
1,7,2,1,5,-27,14.42
1,7,2,1,5,-26,43.09
1,7,2,1,5,-25,87.77
1,7,2,1,5,-24,26.7
1,7,2,1,5,-23,37.81
1,7,2,1,5,-22,150.9
1,7,2,1,5,-21,46.51
1,7,2,1,5,-20,499.18
1,7,2,1,5,-19,99.92
1,7,2,1,5,-18,213.69
1,7,2,1,5,-17,198.15
1,7,2,1,5,-16,314.84
1,7,2,1,5,-15,431.67
1,7,2,1,5,-14,26.17
1,7,2,1,5,-13,115.63
1,7,2,1,5,-12,94.23
1,7,2,1,5,-11,139.9
1,7,2,1,5,-10,209.85
1,7,2,1,5,-9,373.2
1,7,2,1,5,-6,153.16
1,7,2,1,5,-5,118.18
1,7,2,1,5,-4,64.26
1,7,2,1,5,-3,54.99
1,7,2,1,5,-2,108.91
1,7,2,1,5,-1,3.38
1,7,2,1,6,-30,30.95
1,7,2,1,6,-28,1.38
1,7,2,1,6,-27,3.72
1,7,2,1,6,-26,16.98
1,7,2,1,6,-25,5.94
1,7,2,1,6,-24,0.3
1,7,2,1,6,-23,0.12
1,7,2,1,6,-22,258.73
1,7,2,1,6,-21,364.9
1,7,2,1,6,-20,546.76
1,7,2,1,6,-19,419.52
1,7,2,1,6,-18,301.07
1,7,2,1,6,-17,261.55
1,7,2,1,6,-16,433.46
1,7,2,1,6,-15,196.48
1,7,2,1,6,-14,489.74
1,7,2,1,6,-13,580.39
1,7,2,1,6,-12,265.07
1,7,2,1,6,-11,299.38
1,7,2,1,6,-10,258.43
1,7,2,1,6,-9,542.48
1,7,2,1,6,-8,389.05
1,7,2,1,6,-7,668.32
1,7,2,1,6,-6,306.3
1,7,2,1,6,-5,195.23
1,7,2,1,6,-4,324.58
1,7,2,1,6,-3,869.58
1,7,2,1,6,-2,653.33
1,7,2,1,6,-1,341.37
1,7,2,1,9,-20,42.45
1,7,2,1,9,-18,35.43
1,7,2,1,9,-17,12.85
1,7,2,1,9,-15,0.28
1,7,2,1,9,-8,46.69
1,7,2,1,9,-7,1.72
1,7,2,1,9,-3,0.52
1,7,2,1,11,-7,16.9
1,7,2,2,1,-30,123.58
1,7,2,2,1,-29,9.98
1,7,2,2,1,-28,9.98
1,7,2,2,1,-27,2.34
1,7,2,2,1,-26,11.28
1,7,2,2,1,-25,34.88
1,7,2,2,1,-24,25.39
1,7,2,2,1,-23,25.31
1,7,2,2,1,-22,37.33
1,7,2,2,1,-21,9.07
1,7,2,2,1,-20,65.65
1,7,2,2,1,-19,60.37
1,7,2,2,1,-18,17.84
1,7,2,2,1,-17,220.77
1,7,2,2,1,-16,183.6
1,7,2,2,1,-15,73.61
1,7,2,2,1,-14,157.29
1,7,2,2,1,-13,18.82
1,7,2,2,1,-12,113.91
1,7,2,2,1,-11,107.65
1,7,2,2,1,-10,76.14
1,7,2,2,1,-9,280.22
1,7,2,2,1,-8,110.47
1,7,2,2,1,-7,384.69
1,7,2,2,1,-6,71.56
1,7,2,2,1,-5,192.32
1,7,2,2,1,-4,736.14
1,7,2,2,1,-3,812.83
1,7,2,2,1,-2,630.92
1,7,2,2,1,-1,603.38
1,7,2,2,2,-30,24.49
1,7,2,2,2,-29,16
1,7,2,2,2,-28,18.07
1,7,2,2,2,-27,14.01
1,7,2,2,2,-26,5.74
1,7,2,2,2,-25,16.14
1,7,2,2,2,-24,1.24
1,7,2,2,2,-23,20
1,7,2,2,2,-22,39.71
1,7,2,2,2,-21,116.17
1,7,2,2,2,-20,0.13
1,7,2,2,2,-19,46.03
1,7,2,2,2,-18,1.94
1,7,2,2,2,-16,5.64
1,7,2,2,2,-15,290.14
1,7,2,2,2,-14,93.73
1,7,2,2,2,-11,1.46
1,7,2,2,2,-7,181.96
1,7,2,2,2,-6,16.62
1,7,2,2,2,-5,100.65
1,7,2,2,2,-2,1.26
1,7,2,2,3,-30,24.49
1,7,2,2,3,-29,24.8
1,7,2,2,3,-28,8.1
1,7,2,2,3,-27,1.01
1,7,2,2,3,-26,6.37
1,7,2,2,3,-25,1.81
1,7,2,2,3,-24,18.49
1,7,2,2,3,-19,103.14
1,7,2,2,3,-18,39.42
1,7,2,2,3,-17,11.44
1,7,2,2,3,-13,13.79
1,7,2,2,3,-11,3.78
1,7,2,2,3,-10,258.77
1,7,2,2,4,-30,18.97
1,7,2,2,4,-29,2.44
1,7,2,2,4,-28,6
1,7,2,2,4,-27,3.14
1,7,2,2,4,-24,3.15
1,7,2,2,4,-23,1.26
1,7,2,2,4,-15,127.71
1,7,2,2,4,-12,1
1,7,2,2,5,-30,69.99
1,7,2,2,5,-29,1.39
1,7,2,2,5,-28,1.67
1,7,2,2,5,-27,31.92
1,7,2,2,5,-26,17.29
1,7,2,2,5,-25,23.14
1,7,2,2,5,-24,3.25
1,7,2,2,5,-23,16.2
1,7,2,2,5,-22,25.63
1,7,2,2,5,-21,72.15
1,7,2,2,5,-20,15.06
1,7,2,2,5,-19,149.34
1,7,2,2,5,-18,105.96
1,7,2,2,5,-17,172.18
1,7,2,2,5,-16,54.53
1,7,2,2,5,-14,7.62
